id,target,O2_1,O2_2,O2_3,O2_4,O2_5,O2_6,O2_7,NH4_1,NH4_2,NH4_3,NH4_4,NH4_5,NH4_6,NH4_7,NO2_1,NO2_2,NO2_3,NO2_4,NO2_5,NO2_6,NO2_7,NO3_1,NO3_2,NO3_3,NO3_4,NO3_5,NO3_6,NO3_7,BOD5_1,BOD5_2,BOD5_3,BOD5_4,BOD5_5,BOD5_6,BOD5_7
0,8.59,-0.2358288883414151,-0.0427735593806971,0,0.8193550028833996,0.8961445525642803,0,0.3623315247191724,-0.5638197944433605,-0.4377897756070913,0,1.409650240414027,-0.1724759663005635,2.6313152201538017,0,-0.4906308129846805,-0.3186852355747704,0,0,0,-0.1194414477921317,0,0,-0.457739437142075,-0.6449363636891341,0,0,-0.4360076907320443,-0.531651052281852,-0.0083222181874499,-1.0369161549061294,0,0,2.3647225985748257,0,0
1,9.1,1.7485092206699355,4.636808487309438,0,0.8193550028833996,0.1262099483825783,0,0.3623315247191724,2.6921188696071656,1.3911602025189966,0,0.2937541405352374,-0.0493118850472844,-0.599923717215543,0,0.0635950718726074,6.29361012916888,0,0,0,-0.1194414477921317,0,0,1.9514757927720705,-0.5213454813920325,0,0,2.23711280754295,1.6407915106622202,-0.1327700582602294,1.4190225468643929,0,0,-0.5673491281438157,0,0
2,8.21,-1.482412915053336,-0.5679429552161418,0,0.8193550028833996,-0.4121930087182299,0,0.3623315247191724,-1.1257941053905924,-0.8358683681859256,0,1.9077301804108584,0.1933194093015923,-0.2784074050394889,0,-0.2088210410233476,-0.3186852355747704,0,0,0,-0.1194414477921317,0,0,-0.3240797849970462,-0.0905099758142861,0,0,0.0077988535328425,0.2643584364304796,0.0588796154518507,0.1264232301430653,0,0,-0.2921317728428442,0,0
3,8.39,0.1588679011188235,-0.1747993851493844,0,0.7749461312811663,-0.173311150618895,0,0.0737013671324406,-0.2125858501013403,-0.2829814340486558,0,-0.6071093492650418,-0.1225682461718651,3.258272028897108,0,-0.3027576316771252,-0.3186852355747704,0,0,0,-0.1986741736863974,0,0,-0.457739437142075,-0.5386713060131216,0,0,-0.3194870536277497,-0.5574476560827147,0.7383648222492264,-0.0351516844471005,0,0,0.2233973219648289,0,0
4,8.07,-0.0549261931721387,-0.0941169360685198,0,0.8193550028833996,-0.8752563028800172,0,0.3623315247191724,0.0684013053722756,0.0819239424819422,0,-0.6108984701474824,-0.1724759663005635,-0.599923717215543,0,0.2138936169186516,0.0094057558056397,0,0,0,0.0786403669435322,0,0,-0.6916438283958756,-0.5213454813920325,0,0,-0.4360076907320443,-0.914914880180382,-0.0083222181874499,0.1393492233102783,0,0,0.1509010430075,0,0
5,8.12,0.2575420984838835,-0.0427735593806971,0,0.7168729914936322,0.8961445525642803,0,-0.103685917217738,-0.3530794278381485,-0.3382701274623828,0,-0.6108984701474824,-0.1724759663005635,-0.599923717215543,0,-0.3027576316771252,-0.2682096984393227,0,0,0,0.0786403669435322,0,0,-0.1302732893867543,2.383617780077223,0,0,-0.9637776352632612,-0.531651052281852,-1.143286519651198,-1.9611246663618789,0,0,0.1509010430075,0,0
6,8.12,-0.2358288883414151,-0.1161212403633011,0,0.7168729914936322,0.1298850538917991,0,-0.9124516712888918,-0.1423390612329364,-0.2166350019521834,0,-1.2427343772944712,0.037661802662377,2.6313152201538017,0,-0.3027576316771252,-0.2682096984393227,0,0,0,-0.1194414477921317,0,0,-1.379991036942774,2.383617780077223,0,0,-0.3109193597230221,-0.531651052281852,1.4103831586422355,-0.4229314794634992,0,0,2.3647225985748257,0,0
7,7.65,-0.2851659870239451,-0.1747993851493844,0,0.7168729914936322,0.1298850538917991,0,0.3623315247191724,-0.1423390612329364,-0.2166350019521834,0,-0.6108984701474824,-0.1724759663005635,-0.599923717215543,0,-0.1148844503695699,-0.041069781329808,0,0,0,-0.1194414477921317,0,0,-0.3775436458550577,-0.5213454813920325,0,0,-0.8109299760029217,1.8711183303127792,-0.0581013542165615,-0.5069504350503851,0,0,0.1509010430075,0,0
8,6.4,-0.5976342786799672,-0.1307907765598218,0,-0.1200634348561336,-0.2192499694841517,0,-0.9124516712888918,-0.3530794278381485,-0.4377897756070913,0,-0.8098273164756199,-0.0493118850472844,-0.2784074050394889,0,-0.4906308129846805,-0.5407775989707404,0,0,0,-0.1194414477921317,0,0,-0.5913990892871038,1.7876094131117612,0,0,1.287812322899138,1.8711183303127792,-0.6554509865659028,-0.1644116161192334,0,0,0.1509010430075,0,0
9,9.38,-0.2687202874631015,-0.1307907765598218,0,-0.3181953235430169,-0.6143238117253592,0,-0.9124516712888918,-0.7043133721801684,-0.4377897756070913,0,-0.5294323711750072,0.0698634700358647,-0.599923717215543,0,-0.2088210410233476,-0.217734161303875,0,0,0,-0.1194414477921317,0,0,-1.379991036942774,-0.0905099758142861,0,0,0.006085314751897,-0.082053100323961,1.8832849509187968,1.257447632274227,0,0,0.1549286140606846,0,0
10,8.09,-0.0384804936112957,-0.1454603127563426,0,-0.2532900496628305,1.3206192388792524,0,0.6900470161457738,0.2967033691945887,0.0045197717027245,0,-0.6203712723535842,0.1895252551397614,-0.2784074050394889,0,-0.2276083591541031,-0.3186852355747704,0,0,0,-0.1194414477921317,0,0,-0.5746916327689753,-0.5375162510383823,0,0,-0.7787154469211462,-0.914914880180382,-0.1576596262747852,-0.3583015136274324,0,0,-0.4867977070801165,0,0
11,10.37,1.036081515694205,-0.1014517041667803,0,-1.0833943419199448,-1.6323280377794476,0,-0.52761146117325,0.5250054330169017,0.2101937112017888,0,-0.5900583052940586,0.1869958190318742,-0.0854976177338563,0,0.1951062987878961,0.4384478214569453,0,0,0,-0.1854687193706865,0,0,-0.6582289153596184,-0.5386713060131216,0,0,-0.4360076907320443,-0.5574476560827147,-1.1034632108279083,-1.5216408986766272,0,0,-0.0236270359638477,0,0
